pdb_id,entity_id,chains,gene_name,curated_display_name,curated_color_key,homolog_relationship,homolog_target,annotation_note,annotation_source
9if7,1,L7,LTAPH_2815900; EIF4A3,EIF4A3,EIF4A3,author-assigned homolog,EIF4A3,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KRB9. Local BLASTP best reference-family hit: EIF4A3, 60.963% identity, 96% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,2,L8,LTAPH_2607300; RBM8A,RBM8A,RBM8A,author-assigned homolog,RBM8A,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KP41. Local BLASTP best reference-family hit: RBM8A, 32.174% identity, 75% query coverage, E=2.03e-10. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,3,L9,LTAPH_3036000; MAGOHB; MAGOH,MAGOHB,MAGOH,author-assigned homolog,MAGOH,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KMM3. Local BLASTP best reference-family hit: MAGOH, 51.020% identity, 91% query coverage, E=3.39e-54. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,4,LA,LTAPH_3539600; PRP8; PRPF8,PRP8,PRPF8,author-assigned homolog,PRPF8,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KTJ2. Local BLASTP best reference-family hit: PRPF8, 40.656% identity, 99% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,5,LB,LTAPH_1710900; BRR2; SNRNP200,BRR2,SNRNP200,author-assigned homolog,SNRNP200,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KDJ4. Local BLASTP best reference-family hit: SNRNP200, 32.092% identity, 72% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,6,LC,LTAPH_3223800; SNU114; EFTUD2,SNU114,EFTUD2,author-assigned homolog,EFTUD2,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KRB5. Local BLASTP best reference-family hit: EFTUD2, 29.811% identity, 85% query coverage, E=9.14e-117. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,7,LD,LTAPH_0406000; PRKRIP1,PRKRIP1,PRKRIP1,author-assigned homolog,PRKRIP1,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KD47. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,8,LF,LTAPH_2824100; CACTIN,CACTIN,CACTIN,author-assigned homolog,CACTIN,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KRR3. Local BLASTP best reference-family hit: CACTIN, 39.837% identity, 17% query coverage, E=3.20e-23. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,9,LG,RBP1,RBP1,LT_RBP1,functional analog,PPIE RRM domain,Small RRM protein replaces the PPIE RRM function; whole-protein PPIE orthology is not established. Main Fig. 4b; Supplementary Tables 2 and 4. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,10,LH,SDE2-like,SDE2-like,LT_SDE2_LIKE,SDE2-like structural assignment,SDE2,"Conserved processing motif, UBL cleavage and SDE2-C placement support the author SDE2-like assignment; retain the qualified name. Supplementary Fig. 17; Tables 2 and 4; peer-review response. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.",https://doi.org/10.1038/s41467-026-77480-6
