feature,label,start,end,support_count,member_count,note
exon_5,5' exon,1,58,,,Ends immediately before the 120-nt MINX intron; evidence=Rhode et al. 2003 and deposited invariant sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC1370507/; confidence=high
five_prime_splice_site,5' splice site,59,64,,,GUAAGA; evidence=Rhode et al. 2003 and deposited invariant sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC1370507/; confidence=high
intron,intron,59,178,,,120-nt MINX intron; evidence=Rhode et al. 2003 and deposited invariant sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC1370507/; confidence=high
branch_point_region,branch point region,150,156,,,UACUUAU; evidence=Wansink et al. AdML sequence and MINX alignment; source=https://pubmed.ncbi.nlm.nih.gov/8072491/; confidence=high
branch_point_adenosine,branch point adenosine,155,155,,,Conserved AdML-derived branch adenosine; evidence=Wansink et al. AdML sequence and MINX alignment; source=https://pubmed.ncbi.nlm.nih.gov/8072491/; confidence=high
polypyrimidine_tract,polypyrimidine tract,161,172,,,Pyrimidine-rich interval upstream of the 3-prime splice site; evidence=Wansink et al. AdML sequence and MINX alignment; source=https://pubmed.ncbi.nlm.nih.gov/8072491/; confidence=high
three_prime_splice_site,3' splice site,176,178,,,CAG at the intron end; evidence=Rhode et al. 2003 and deposited invariant sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC1370507/; confidence=high
exon_3,3' exon,179,224,,,46-nt second exon; evidence=Rhode et al. 2003 and deposited invariant sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC1370507/; confidence=high
technical_linker,MS2 cassette linker,225,230,,,Six nucleotides before the first exact aptamer core; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 1,231,249,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 2,263,281,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 3,294,312,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
technical_tail,MS2 cassette tail,313,324,,,Sequence after the third aptamer core; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
