member,feature,label,start,end,coverage,confidence,method
3cw1:V,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3cw1:V,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3cw1:V,U1_SL2,stem-loop 2,46,121,1.000,low,review-region
3cw1:v,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3cw1:v,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3cw1:v,U1_SL2,stem-loop 2,46,121,1.000,low,review-region
3cw1:w,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3cw1:w,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3cw1:w,U1_SL2,stem-loop 2,46,121,1.000,low,review-region
3cw1:x,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3cw1:x,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3cw1:x,U1_SL2,stem-loop 2,46,121,1.000,low,review-region
3pgw:N,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3pgw:N,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3pgw:N,U1_SL2,stem-loop 2,46,95,1.000,low,review-region
3pgw:R,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
3pgw:R,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
3pgw:R,U1_SL2,stem-loop 2,46,95,1.000,low,review-region
4pjo:1,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
4pjo:1,U1_SL1,stem-loop 1,11,135,1.000,low,review-region
4pjo:2,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
4pjo:2,U1_SL1,stem-loop 1,11,135,1.000,low,review-region
4pjo:3,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
4pjo:3,U1_SL1,stem-loop 1,11,135,1.000,low,review-region
4pjo:4,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
4pjo:4,U1_SL1,stem-loop 1,11,135,1.000,low,review-region
6qx9:1,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
6qx9:1,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
6qx9:1,U1_SL2,stem-loop 2,46,95,1.000,low,review-region
7vpx:L,U1_5prime_5SS_recognition,5' splice-site recognition region,1,10,1.000,medium,review-region
7vpx:L,U1_SL1,stem-loop 1,11,45,1.000,low,review-region
7vpx:L,U1_SL2,stem-loop 2,46,95,1.000,low,review-region
8r08:1,U1_SL1,stem-loop 1,12,46,1.000,low,review-region
8r08:1,U1_SL2,stem-loop 2,47,96,1.000,low,review-region
