feature,label,start,end,support_count,member_count,note
technical_leader,5' affinity tag and linker,1,116,,,Contains three MS2 aptamers upstream of the biological 5-prime exon; evidence=Bessonov et al. 2010 Figure 1 and deposited sequence; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
ms2_aptamer,MS2 aptamer 1,23,41,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 2,55,73,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 3,86,104,,,Exact 19-nt MS2 coat-protein aptamer; evidence=Zhou et al. 2002 cassette sequence; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
exon_5,5' exon,117,242,,,126-nt exon immediately upstream of the 5-prime splice site; evidence=Bessonov et al. 2010 and Haselbach et al. 2018; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
five_prime_splice_site,5' splice site,243,248,,,GUAUGU; evidence=Bessonov et al. 2010 and deposited sequence; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
intron,intron,243,460,,,Ends with the full 60-nt PPT and lacks a 3-prime splice site; evidence=Bessonov et al. 2010 Figure 1 and deposited sequence; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
branch_point_region,branch point region,388,394,,,UUACUGA; evidence=Bessonov et al. 2010 Figure 1 and structural assignment; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
branch_point_adenosine,branch point adenosine,394,394,,,Branch adenosine followed by six nucleotides before the PPT; evidence=Bessonov et al. 2010 Figure 1 and structural assignment; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
polypyrimidine_tract,60-nt polypyrimidine tract,401,460,,,Full terminal PPT; evidence=Bessonov et al. 2010 Figure 1 and deposited sequence; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=high
technical_tail,run-off template tail,461,478,,,Sequence after the published terminal 60-nt PPT; evidence=deposited sequence and construct boundary; source=https://rnajournal.cshlp.org/content/16/12/2384.full; confidence=medium
