entity_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_length,subject_length,query_coverage_percent,author_symbol,subject_family
1,S00046,60.963,374,0.0,505,389,411,96,EIF4A3,EIF4A3
1,S00101,60.963,374,0.0,504,389,390,96,EIF4A3,EIF4A3
1,S00142,32.967,364,5.16e-58,197,389,1031,91,EIF4A3,DDX46
1,S00170,32.967,364,7.25e-58,197,389,1052,91,EIF4A3,DDX46
1,S00006,30.808,396,1.90e-53,184,389,820,92,EIF4A3,DDX23
1,S00187,32.591,359,3.10e-53,181,389,622,88,EIF4A3,DDX41
1,S00195,30.667,375,1.44e-50,176,389,938,93,EIF4A3,DDX42
1,S00169,30.667,375,1.49e-50,176,389,958,93,EIF4A3,DDX42
1,S00003,20.488,410,2.44e-04,37.0,389,2136,85,EIF4A3,SNRNP200
1,S00104,20.488,410,2.45e-04,37.0,389,1722,85,EIF4A3,SNRNP200
2,S00068,32.174,115,2.03e-10,50.4,153,174,75,RBM8A,RBM8A
2,S00102,33.333,99,1.25e-08,44.3,153,91,64,RBM8A,RBM8A
2,S00227,33.333,99,1.67e-08,43.9,153,92,64,RBM8A,RBM8A
3,S00152,51.020,147,3.39e-54,162,162,146,91,MAGOHB,MAGOH
3,S00067,50.704,142,6.66e-54,162,162,148,88,MAGOHB,MAGOH2
3,S00228,50.704,142,8.81e-54,161,162,143,88,MAGOHB,MAGOH
3,S00103,50.704,142,9.50e-54,161,162,144,88,MAGOHB,MAGOH2
4,S00005,40.656,2408,0.0,1877,2427,2335,99,PRP8,PRPF8
4,S00229,40.816,2401,0.0,1876,2427,2312,99,PRP8,PRPF8
4,S00128,40.816,2401,0.0,1876,2427,2311,99,PRP8,PRPF8
4,S00144,43.667,1816,0.0,1568,2427,1755,75,PRP8,PRPF8
4,S00173,26.394,269,1.39e-29,114,2427,278,11,PRP8,PRPF8
4,S00175,26.400,250,2.77e-28,110,2427,263,10,PRP8,PRPF8
5,S00003,32.092,1773,0.0,818,2367,2136,72,BRR2,SNRNP200
5,S00003,29.955,671,1.51e-74,271,2367,2136,72,BRR2,SNRNP200
5,S00231,32.092,1773,0.0,817,2367,2018,72,BRR2,SNRNP200
5,S00231,29.955,671,1.36e-74,271,2367,2018,72,BRR2,SNRNP200
5,S00174,34.892,1476,0.0,807,2367,1747,61,BRR2,SNRNP200
5,S00174,29.955,671,5.41e-75,271,2367,1747,61,BRR2,SNRNP200
5,S00171,34.892,1476,0.0,806,2367,1739,61,BRR2,SNRNP200
5,S00171,29.955,671,9.22e-75,271,2367,1739,61,BRR2,SNRNP200
5,S00104,34.892,1476,0.0,805,2367,1722,61,BRR2,SNRNP200
5,S00104,29.955,671,9.37e-75,271,2367,1722,61,BRR2,SNRNP200
5,S00169,21.750,400,1.57e-05,43.9,2367,958,17,BRR2,DDX42
5,S00195,21.750,400,1.62e-05,43.9,2367,938,17,BRR2,DDX42
6,S00129,29.811,899,9.14e-117,374,1016,853,85,SNU114,EFTUD2
6,S00134,29.811,899,1.21e-116,373,1016,854,85,SNU114,EFTUD2
6,S00232,29.811,899,4.26e-116,373,1016,899,85,SNU114,EFTUD2
6,S00105,29.811,899,4.63e-116,373,1016,899,85,SNU114,EFTUD2
6,S00145,29.811,899,1.32e-115,373,1016,952,85,SNU114,EFTUD2
6,S00007,29.811,899,1.48e-115,374,1016,972,85,SNU114,EFTUD2
8,S00107,39.837,123,3.20e-23,89.7,706,122,17,CACTIN,CACTIN
8,S00235,39.837,123,4.66e-21,90.9,706,489,17,CACTIN,CACTIN
8,S00182,37.209,129,8.97e-21,90.9,706,758,17,CACTIN,CACTIN
11,S00109,40.476,336,3.80e-85,260,509,320,66,PLRG1,PLRG1
11,S00245,40.476,336,4.60e-85,260,509,321,66,PLRG1,PLRG1
11,S00061,40.476,336,4.36e-84,264,509,514,66,PLRG1,PLRG1
11,S00028,41.246,337,6.23e-82,258,509,515,66,PLRG1,PLRG1
11,S00234,32.683,205,2.74e-28,108,509,305,40,PLRG1,PRP8BP
11,S00234,29.730,148,1.86e-17,77.0,509,305,40,PLRG1,PRP8BP
11,S00234,25.962,208,1.30e-16,74.3,509,305,40,PLRG1,PRP8BP
11,S00234,21.970,132,6.36e-07,45.1,509,305,40,PLRG1,PRP8BP
11,S00112,32.683,205,2.79e-28,108,509,306,40,PLRG1,PRP8BP
11,S00112,29.730,148,1.90e-17,77.0,509,306,40,PLRG1,PRP8BP
11,S00112,25.728,206,1.29e-16,74.7,509,306,40,PLRG1,PRP8BP
11,S00112,21.970,132,5.95e-07,45.1,509,306,40,PLRG1,PRP8BP
11,S00002,32.683,205,4.02e-28,109,509,357,40,PLRG1,PRP8BP
11,S00002,29.730,148,1.26e-17,78.2,509,357,40,PLRG1,PRP8BP
11,S00002,25.728,206,8.71e-17,75.9,509,357,40,PLRG1,PRP8BP
11,S00002,21.970,132,2.38e-07,46.6,509,357,40,PLRG1,PRP8BP
11,S00050,24.561,285,1.50e-22,94.4,509,513,54,PLRG1,SMU1
11,S00050,22.881,236,9.22e-11,57.8,509,513,54,PLRG1,SMU1
