feature,label,start,end,support_count,member_count,note
intron,upstream intron,1,66,,,Upstream partial intron ending at the AG 3-prime splice site; evidence=Zhang et al. 2024 construct architecture; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
branch_point_region,branch point region,27,43,,,Resolved U2-paired segment through nt 41 followed by unresolved U(-1) and A(BPA); evidence=Zhang et al. 2024 Figure 4b and structural U2 pairing; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
branch_point_adenosine,branch point adenosine,43,43,,,Unresolved BP-A; nt 41 is the resolved -2 nucleotide; evidence=Zhang et al. 2024 Figure 4b; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
polypyrimidine_tract,polypyrimidine tract,51,62,,,Pyrimidine-rich interval immediately upstream of the 3-prime splice site; evidence=Zhang et al. 2024 construct sequence; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
three_prime_splice_site,upstream 3' splice site,64,66,,,CAG at the upstream-intron/exon boundary; evidence=Zhang et al. 2024 construct sequence; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
exon_defined_exon,exon-defined exon,67,105,,,Central exon bounded by the upstream 3-prime and downstream 5-prime splice sites; evidence=Zhang et al. 2024 construct architecture; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
five_prime_splice_site,downstream 5' splice site,106,111,,,GUAAGA at the exon/downstream-intron boundary; evidence=Zhang et al. 2024 construct sequence; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
downstream_intron_segment,downstream intron segment,106,159,,,Partial downstream intron preceding the affinity cassette; evidence=Zhang et al. 2024 construct architecture; source=https://www.nature.com/articles/s41594-023-01188-0; confidence=high
ms2_aptamer,MS2 aptamer 1,160,178,,,Exact 19-nt MS2 coat-protein aptamer; evidence=exact MS2 M3 sequence match; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 2,192,210,,,Exact 19-nt MS2 coat-protein aptamer; evidence=exact MS2 M3 sequence match; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
ms2_aptamer,MS2 aptamer 3,223,241,,,Exact 19-nt MS2 coat-protein aptamer; evidence=exact MS2 M3 sequence match; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
technical_tail,MS2 cassette tail,242,259,,,Sequence after the third aptamer core; evidence=exact MS2 M3 sequence match; source=https://pmc.ncbi.nlm.nih.gov/articles/PMC129422/; confidence=high
