feature,label,start,end,support_count,member_count,note
exon_5,5' exon,1,22,,,"feature=exon_5; support=2/20; selected fromprojected family annotations; members=6j6n:B, 6j6q:B; evidence=manual curation by Matthias Vorländer; confidence=high"
five_prime_splice_site,5' splice site,23,28,,,"feature=five_prime_splice_site; support=9/20;selected from projected family annotations; members=5lj3:I, 5lj5:I, 5mps:I, 5mq0:I, 5nrl:I, 6exn:I, 6n7p:r, 7b9v:I, 9dtr:I; evidence=manual curation by Matthias Vorländer; confidence=high"
intron,intron,23,117,,,"feature=intron; support=5/20; selected fromprojected family annotations; members=5nrl:I, 6exn:I, 6n7p:r, 7b9v:I, 9dtr:I; evidence=manual curation by Matthias Vorländer; confidence=high"
branch_point_region,branch point region,87,93,,,feature=branch_point_region; support=6/20; anchoredto the unique budding-yeast UACUAAC branch-site consensus; evidence=manual curation by Matthias Vorländer; confidence=high
branch_point_adenosine,branch point adenosine,92,92,,,feature=branch_point_adenosine; support=6/20;anchored to the unique budding-yeast UACUAAC branch-site consensus; evidence=manual curation by Matthias Vorländer; confidence=high
three_prime_splice_site,3' splice site,115,117,,,feature=three_prime_splice_site; support=2/20; re-anchored to the first downstream budding-yeast YAG after the branch site; evidence=manual curation by Matthias Vorländer; confidence=high
exon_3,3' exon,118,253,,,feature=exon_3; support=1/20; selected fromprojected family annotations; members=9dtr:E; evidence=manual curation by Matthias Vorländer; confidence=high
ms2_aptamer,MS2 aptamer 1,161,179,,,Exact 19-nt MS2 coat-protein aptamer sequence.; evidence=exact MS2 M3 sequence match; confidence=high
ms2_aptamer,MS2 aptamer 2,193,211,,,Exact 19-nt MS2 coat-protein aptamer sequence.; evidence=exact MS2 M3 sequence match; confidence=high
ms2_aptamer,MS2 aptamer 3,224,242,,,Exact 19-nt MS2 coat-protein aptamer sequence.; evidence=exact MS2 M3 sequence match; confidence=high
